word,frequency
v,52
go,264
jrong,1
point,13
crzy,10
vilble,13
only,132
in,844
bgis,7
n,239
gret,100
world,33
l,17
e,78
bffet,2
cine,7
there,185
got,233
more,80
wt,99
ok,291
lr,45
joking,6
wif,27
oni,4
dn,57
sy,91
so,414
erly,33
hor,32
c,60
lredy,90
then,223
nh,10
i,2186
dont,268
think,128
he,184
goes,26
sf,11
lives,4
rond,66
here,111
thogh,26
even,55
my,783
brother,18
is,730
not,408
like,229
spek,23
with,271
me,756
they,109
tret,16
ids,1
ptent,1
s,224
per,13
yor,417
reqest,7
melle,6
or,295
minnminnginte,3
nrng,3
vettm,3
hs,86
been,87
set,22
cllertne,10
for,503
ll,257
cllers,5
press,10
copy,9
friends,53
im,467
gonn,58
be,332
home,160
soon,56
nd,860
wnt,169
tlk,42
bot,176
this,243
stff,44
nymore,8
night,164
k,78
ive,75
cried,1
enogh,27
dy,320
serching,5
the,1119
right,89
words,22
thnk,35
yo,1880
brether,1
promise,9
wont,51
tke,113
help,36
grnted,1
will,334
flfil,1
hve,438
wonderfl,15
blessing,2
t,406
times,25
dte,9
on,391
sndy,8
oh,111
kim,1
wtching,34
eh,12
remember,31
how,255
spell,3
his,59
nme,34
yes,71
did,116
nghty,7
mke,88
wet,3
fine,45
if,348
thts,105
wy,121
feel,62
its,302
b,65
tht,495
seriosly,9
going,167
try,42
months,10
h,61
py,30
first,56
when,274
d,238
sck,6
comin,11
ft,27
finish,42
lnch,45
str,4
down,55
lor,160
rd,32
smth,16
r,388
ffffffffff,1
lright,23
no,273
cn,379
meet,72
p,331
sooner,4
jst,294
forced,1
myself,10
et,40
slice,2
relly,85
hngry,12
tho,18
scks,7
mrk,8
getting,46
worried,9
knows,9
sick,9
trn,3
pizz,8
lol,73
lwys,59
convincing,1
ctch,9
bs,30
re,434
frying,3
egg,4
te,13
eting,7
moms,9
left,29
over,56
dinner,35
do,380
love,185
bck,132
mp,87
were,82
pcking,1
cr,42
now,289
ill,240
let,70
know,232
theres,25
room,34
hhh,1
work,96
vgely,1
wht,244
does,29
it,592
wit,78
still,146
cler,3
sre,73
being,37
srcstic,2
why,68
x,41
doesnt,28
live,19
yeh,87
ws,225
pologetic,1
hd,84
fllen,1
ot,213
she,130
ctin,1
spoilt,1
child,2
cght,3
till,21
bt,465
we,297
doing,85
o,119
bdly,1
cheers,8
tell,121
nything,73
fer,3
of,524
finting,1
hosework,1
qick,8
cpp,1
yp,43
look,28
timings,1
msg,54
gin,66
xhi,3
lern,5
her,142
lesson,17
m,245
oops,10
roommtes,5
done,45
see,137
letter,5
decide,9
hello,46
hows,44
strdy,9
texting,5
yod,8
decided,16
mo,25
trying,28
invite,3
pls,116
hed,26
wtts,1
wnted,26
weekend,24
biol,12
forget,16
need,157
crve,11
most,26
sweet,33
rbin,1
steed,1
mmmmmm,2
ymmy,3
who,61
seeing,14
hope,100
mn,45
well,127
endowed,1
ltgt,276
inches,4
cllsmessgesmissed,3
clls,12
didnt,83
get,307
hep,2
immnistion,1
nigeri,8
fir,3
hopeflly,5
tyler,5
cnt,121
cold,60
mybe,29
sk,88
bit,43
stbborn,1
hospitl,10
kept,4
telling,14
wek,5
scker,1
hospitls,2
sckers,1
thinked,1
time,189
sw,23
clss,43
grm,3
slly,6
rns,3
hlf,25
eighth,2
smrter,1
gets,11
lmost,13
whole,14
second,18
fyi,6
ride,5
morrow,84
morning,77
hes,33
crshing,1
plce,54
wow,10
never,42
relized,3
embrssed,4
by,201
ccomodtions,1
thoght,46
liked,7
since,25
best,38
seemed,4
hppy,105
cve,1
sorry,153
give,93
offered,1
embrssing,1
mllik,1
sherwt,1
yesterdy,20
find,50
ltrlgt,3
cll,230
lter,135
meeting,43
where,98
reched,10
yesgti,1
sehwg,1
odi,2
series,4
pick,69
brger,1
yorself,21
move,11
pin,29
killing,2
good,222
joke,5
girls,11
sittion,9
seekers,1
prt,23
checking,11
iq,4
forever,9
come,224
doble,5
check,34
hir,24
dresser,3
sid,86
wn,98
ct,18
short,9
nice,57
song,9
dedicted,2
which,52
dedicte,2
send,124
vlble,4
frnds,14
rply,5
plne,5
month,28
end,26
wh,4
lcky,9
sve,7
money,53
hee,13
finished,19
hi,126
bbe,72
wnn,28
something,68
xx,7
kkwhere,2
yohow,1
performed,1
witing,36
mchn,4
once,33
free,59
cool,40
gentlemn,3
dignity,3
respect,3
peoples,1
very,75
mch,113
shy,2
operte,1
fter,84
sme,48
looking,20
job,43
ts,1
ern,2
next,46
sp,47
network,4
rgnt,5
sms,19
rel,26
tickets,7
one,162
jcket,2
sed,19
mltis,1
strted,17
reqests,2
cme,28
bed,33
coins,4
fcry,1
gott,12
csh,12
nitros,2
el,3
knoil,1
downlod,10
wen,24
stnd,7
close,14
yoll,14
nother,35
spent,8
lte,55
fternoon,27
cslty,1
mens,26
hvent,47
ny,105
y,98
stffmoro,1
incldes,1
sheets,3
smile,44
plesre,7
troble,8
pors,2
rin,12
sm,7
hrts,8
becoz,4
someone,45
loves,8
smiling,20
plnning,8
lido,3
show,21
telg,1
moviewt,1
lods,10
lons,1
wk,7
hols,2
rn,35
forgot,31
hirdressers,1
ppointment,4
shower,11
beforehnd,1
cse,32
prob,16
hm,7
plese,76
text,68
nothing,34
else,23
oky,26
price,7
long,45
legl,4
them,79
ve,8
ms,6
gone,16
driving,20
test,22
yet,48
yore,52
men,33
gess,31
gve,10
bosn,5
chnged,6
serch,15
loction,2
nyc,4
cz,7
signin,1
pge,6
sys,27
mm,32
life,74
vv,3
lot,36
der,98
thnks,62
wishes,8
birthdy,35
mking,23
trly,2
memorble,1
ight,33
hit,11
some,119
wold,74
ip,1
ddress,17
considering,4
compter,7
isnt,20
minecrft,1
server,1
grmpy,1
old,18
people,47
mom,12
better,41
lying,2
ply,21
jokes,5
worry,22
bsy,17
plrl,1
non,3
reserch,4
dinnermsg,1
cos,76
new,67
things,51
scred,5
mh,13
lod,4
w,17
openin,1
sentence,3
forml,1
nywy,27
jz,26
tt,11
etin,7
pttin,2
weighthh,1
nythin,3
specil,32
hppened,16
entered,5
cbin,5
bdy,17
boss,9
felt,13
skd,12
invited,8
prtment,8
went,61
goodo,2
mst,23
fridy,14
eggpot,1
rtio,1
rtill,2
needed,3
hmmmy,1
ncle,12
informed,3
pying,7
school,27
directly,6
food,23
pplespirsll,1
mlrky,1
predict,1
bying,9
knowyetnde,1
hsnt,5
sent,58
bother,7
sending,10
involve,1
sholdnt,6
imposed,1
pologise,3
hey,106
girl,29
del,9
bk,9
from,150
lcyxx,1
kkhow,4
cost,12
tmorrowpls,1
ccomodte,1
nswer,14
qestion,15
hf,23
msn,2
yijehotmilcom,1
him,108
rooms,4
befor,4
ctivities,4
lzy,9
type,15
lect,9
poch,2
sir,33
mil,24
swt,2
nver,1
tired,12
little,27
lovble,11
persons,7
cozsomtimes,1
those,29
occpy,2
biggest,1
their,13
herts,1
gd,69
ni,17
open,16
dot,1
whts,33
tking,17
mmmwill,1
inor,1
begin,4
qtr,4
pry,8
hrd,13
ki,6
deleted,4
contct,12
sind,1
birl,3
soft,3
wine,11
flowing,2
nevering,1
thk,50
plz,27
typicl,1
reply,43
everywhere,2
dirt,1
floor,3
windows,2
shirt,4
sometimes,8
moth,2
comes,18
drem,7
withot,28
chores,1
joy,4
lots,15
tv,22
shows,5
exist,1
hil,1
mist,1
become,5
ooooright,1
leving,19
hose,35
interview,4
boy,30
mere,1
missing,26
keep,62
sfe,11
becse,36
miss,69
envy,1
everyone,16
sees,1
prentsi,1
hnd,15
excited,1
ech,9
spend,10
points,4
cltres,1
modle,2
frnd,10
void,2
missnderstding,1
beloved,2
ones,8
escpe,4
fncy,5
bridge,1
needs,15
lger,1
completely,8
formclrk,2
lso,68
tter,2
wste,7
xis,1
bnk,12
ccont,20
hmmm,9
hop,7
mz,11
discss,5
lio,35
coming,50
bloody,4
hell,16
believe,18
srnme,1
mr,10
cle,1
spnish,1
begins,1
bth,11
goodfine,1
yove,10
crlos,15
mll,3
trns,6
stying,9
til,25
smoke,17
worth,4
log,7
spoke,6
mneesh,3
