word,frequency
v,8
free,219
entry,26
in,80
wkly,14
comp,10
win,61
f,14
cp,5
finl,16
tkts,4
st,32
my,19
text,121
receive,35
qestionstd,2
txt,152
rtetcs,2
pply,30
overs,2
freemsg,12
hey,5
there,11
drling,2
its,12
been,43
weeks,13
now,190
nd,142
no,77
word,22
bck,23
id,3
like,13
some,6
fn,9
yo,289
p,112
for,205
it,28
still,7
tb,1
ok,5
xxx,12
std,9
chgs,1
send,67
rcv,4
winner,16
s,64
vled,11
network,25
csmer,49
hve,136
selected,25
prize,93
rewrd,10
clim,119
cll,350
code,29
kl,2
vlid,23
hors,6
only,84
hd,18
yor,263
mobile,124
months,6
or,273
more,30
r,170
entitled,8
pdte,19
the,204
ltest,36
color,17
mobiles,12
with,109
cmer,33
co,5
on,151
six,3
chnces,2
csh,66
from,129
ponds,17
cost,30
pdy,2
dys,36
tsndcs,2
reply,101
hl,8
info,12
rgent,64
won,73
week,50
membership,2
jckpot,2
tc,21
wwwdbknet,2
lccltd,2
pobox,30
ldnwrw,2
xxxmobilemovieclb,1
se,31
credit,9
click,5
wp,13
link,6
next,16
messge,32
here,6
httpwp,1
xxxmobilemovieclbcomnqjkgighjjgcbl,1
englnd,9
mcedoni,1
dont,22
miss,7
golstem,1
news,10
ntionl,12
tem,3
eg,12
trywles,1
scotlnd,1
poboxoxwwq,1
thnks,14
sbscription,4
ringne,27
k,29
will,44
be,52
chrged,11
month,5
plese,54
confirm,1
by,39
replying,6
yes,21
if,32
not,24
rodger,1
brns,1
msg,29
we,53
tried,17
re,97
sms,26
noki,69
cmcorder,15
delivery,21
morrow,10
c,27
sptv,2
new,69
jersey,1
devils,1
detroit,1
red,2
wings,1
ply,18
ice,1
hockey,1
correct,4
incorrect,1
end,16
congrts,10
yer,10
specil,11
cinem,3
pss,5
is,158
yors,15
sprmn,3
mtrix,3
strwrs,3
etc,7
ll,29
bxipwe,3
pm,10
ot,56
i,54
m,38
plesed,3
dvise,3
tht,26
following,5
recent,3
review,4
of,97
mob,24
wrded,38
bons,21
complimentry,12
trip,4
erodisinc,2
trv,2
coentry,2
dis,2
morefrmmob,2
