v1,v2
ham,"Go  jrong point, crzy.. vilble only in bgis n gret world l e bffet... Cine there got more wt..."
ham,Ok lr... Joking wif  oni...
spam,Free entry in 2  wkly comp  win F Cp finl tkts 21st My 2005. Text F  87121  receive entry qestion(std txt rte)T&C's pply 08452810075over18's
ham, dn sy so erly hor...  c lredy then sy...
ham,"Nh I don't think he goes  sf, he lives rond here thogh"
spam,"FreeMsg Hey there drling it's been 3 week's now nd no word bck! I'd like some fn yo p for it still? Tb ok! XxX std chgs  send, еЈ1.50  rcv"
ham,Even my brother is not like  spek with me. They tret me like ids ptent.
ham,s per yor reqest 'Melle Melle (Or Minnminnginte Nrng Vettm)' hs been set s yor cllertne for ll Cllers. Press *9  copy yor friends Cllertne
spam,WINNER!! s  vled network csmer yo hve been selected  receive еЈ900 prize rewrd!  clim cll 09061701461. Clim code KL341. Vlid 12 hors only.
spam,Hd yor mobile 11 months or more?  R entitled  pdte  the ltest color mobiles with cmer for Free! Cll The Mobile pdte Co FREE on 08002986030
ham,"I'm gonn be home soon nd i don't wnt  tlk bot this stff nymore night, k? I've cried enogh dy."
spam,"SIX chnces  win CSH! From 100  20,000 ponds txt> CSH11 nd send  87575. Cost 150p/dy, 6dys, 16+ TsndCs pply Reply HL 4 info"
spam,"RGENT! Yo hve won  1 week FREE membership in or еЈ100,000 Prize Jckpot! Txt the word: CLIM  No: 81010 T&C www.dbk.net LCCLTD POBOX 4403LDNW17RW18"
ham,I've been serching for the right words  thnk yo for this brether. I promise i wont tke yor help for grnted nd will flfil my promise. Yo hve been wonderfl nd  blessing t ll times.
ham,I HVE  DTE ON SNDY WITH WILL!!
spam,"XXXMobileMovieClb:  se yor credit, click the WP link in the next txt messge or click here>> http://wp. xxxmobilemovieclb.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm wtching here:)
ham,Eh  remember how 2 spell his nme... Yes i did. He v nghty mke  i v wet.
ham,Fine if thtеХs the wy  feel. ThtеХs the wy its got b
spam,"Englnd v Mcedoni - dont miss the gols/tem news. Txt r ntionl tem  87077 eg ENGLND  87077 Try:WLES, SCOTLND 4txt/Мј1.20 POBOXox36504W45WQ 16+"
ham,Is tht seriosly how yo spell his nme?
ham,I‰Ычm going  try for 2 months h h only joking
ham,So М_ py first lr... Then when is d sck comin...
ham,ft i finish my lnch then i go str down lor. rd 3 smth lor.  finish r lnch lredy?
ham,Ffffffffff. lright no wy I cn meet p with yo sooner?
ham,Jst forced myself  et  slice. I'm relly not hngry tho. This scks. Mrk is getting worried. He knows I'm sick when I trn down pizz. Lol
ham,Lol yor lwys so convincing.
ham,Did yo ctch the bs ? re yo frying n egg ? Did yo mke  te? re yo eting yor mom's left over dinner ? Do yo feel my Love ?
ham,"I'm bck &mp; we're pcking the cr now, I'll let yo know if there's room"
ham,hhh. Work. I vgely remember tht! Wht does it feel like? Lol
ham,"Wit tht's still not ll tht cler, were yo not sre bot me being srcstic or tht tht's why x doesn't wnt  live with s"
ham,Yeh he got in t 2 nd ws v pologetic. n hd fllen ot nd she ws ctin like spoilt child nd he got cght p in tht. Till 2! Bt we won't go there! Not doing o bdly cheers. Yo? 
ham,K tell me nything bot yo.
ham,For fer of finting with the of ll tht hosework yo jst did? Qick hve  cpp
spam,Thnks for yor sbscription  Ringne K yor mobile will be chrged еЈ5/month Plese confirm by replying YES or NO. If yo reply NO yo will not be chrged
ham,Yp... Ok i go home look t the timings then i msg М_ gin... Xhi going  lern on 2nd my o bt her lesson is t 8m
ham,"Oops, I'll let yo know when my roommte's done"
ham,I see the letter B on my cr
ham,nything lor...  decide...
